Entity,Code,Year,Annual CO₂ emissions (per capita),GDP per capita,900793-annotations,Population (historical),World regions according to OWID,time,time,time,time
Iraq,IRQ,2022,3.8864813,13071.94,,44070510,Asia,2022,2023,2022,2022
Ireland,IRL,2022,7.1842723,60257.082,,5109966,Europe,2022,2023,2022,2022
Israel,ISR,2022,6.6951056,36648.918,,9103094,Asia,2022,2023,2022,2022
Italy,ITA,2022,5.714151,36224.293,,59619058,Europe,2022,2023,2022,2022
Jamaica,JAM,2022,2.5137622,7481.6685,,2839098,North America,2022,2023,2022,2022
Japan,JPN,2022,8.261658,38268.79,,124997534,Asia,2022,2023,2022,2022
Jordan,JOR,2022,1.799406,9151.479,,11256215,Asia,2022,2023,2022,2022
Kazakhstan,KAZ,2022,12.69876,26491.857,,20034569,Asia,2022,2023,2022,2022
Kenya,KEN,2022,0.39440462,3403.9238,,54252404,Africa,2022,2023,2022,2022
Kuwait,KWT,2022,21.235703,71533.516,,4589467,Asia,2022,2023,2022,2022
Kyrgyzstan,KGZ,2022,1.442273,5304.841,,6955746,Asia,2022,2023,2022,2022
Laos,LAO,2022,3.1004407,7168.1904,,7558961,Asia,2022,2023,2022,2022
Latvia,LVA,2022,3.5192242,27220.303,,1881016,Europe,2022,2023,2022,2022
Lebanon,LBN,2022,3.2940342,10341.159,,5744441,Asia,2022,2023,2022,2022
Lesotho,LSO,2022,1.6764951,2312.9583,,2286067,Africa,2022,2023,2022,2022
Liberia,LBR,2022,0.1474119,811.2146,,5373250,Africa,2022,2023,2022,2022
Libya,LBY,2022,7.966225,12755.204,,7223757,Africa,2022,2023,2022,2022
Lithuania,LTU,2022,4.5641627,30863.32,,2816872,Europe,2022,2023,2022,2022
Luxembourg,LUX,2022,11.138974,55484.777,,653267,Europe,2022,2023,2022,2022
Madagascar,MDG,2022,0.14158493,1367.0938,,30437216,Africa,2022,2023,2022,2022
Malawi,MWI,2022,0.084993675,1190.0509,,20568683,Africa,2022,2023,2022,2022
Malaysia,MYS,2022,8.227246,26628.707,,34695445,Asia,2022,2023,2022,2022
Mali,MLI,2022,0.30288965,1651.9413,,23072588,Africa,2022,2023,2022,2022
Malta,MLT,2022,3.3582027,34496.34,,528148,Europe,2022,2023,2022,2022
Mauritania,MRT,2022,0.93888414,3680.3662,,4875590,Africa,2022,2023,2022,2022
Mauritius,MUS,2022,3.0783277,20643.094,,1276075,Africa,2022,2023,2022,2022
Mexico,MEX,2022,3.6181056,16235.455,,128613066,North America,2022,2023,2022,2022
Moldova,MDA,2022,1.9046298,6674.871,,3039946,Europe,2022,2023,2022,2022
Mongolia,MNG,2022,12.821953,13442.906,,3385971,Asia,2022,2023,2022,2022
Montenegro,MNE,2022,3.889522,20941.805,,614603,Europe,2022,2023,2022,2022
Morocco,MAR,2022,1.8619709,8400.127,,37329012,Africa,2022,2023,2022,2022
Mozambique,MOZ,2022,0.25593457,1087.836,,32656190,Africa,2022,2023,2022,2022
Myanmar,MMR,2022,0.5493762,5177.4326,,53756739,Asia,2022,2023,2022,2022
Namibia,NAM,2022,1.4136248,7979.328,,2889626,Africa,2022,2023,2022,2022
Nepal,NPL,2022,0.541436,3013.5178,,29715383,Asia,2022,2023,2022,2022
Netherlands,NLD,2022,7.106702,49669.867,,17904367,Europe,2022,2023,2022,2022
New Zealand,NZL,2022,6.1597934,38250.12,,5131680,Oceania,2022,2023,2022,2022
Nicaragua,NIC,2022,0.78687125,5092.8413,,6730618,North America,2022,2023,2022,2022
Niger,NER,2022,0.10656583,1007.72095,,25311922,Africa,2022,2023,2022,2022
Nigeria,NGA,2022,0.5895932,5070.4927,,223150851,Africa,2022,2023,2022,2022
North Korea,PRK,2022,2.1342564,1568.847,,26328793,Asia,2022,2023,2022,2022
North Macedonia,MKD,2022,3.8731613,14050.995,,1840196,Europe,2022,2023,2022,2022
Norway,NOR,2022,7.47844,88366.22,,5456753,Europe,2022,2023,2022,2022
Oman,OMN,2022,16.195124,47988.65,,4730179,Asia,2022,2023,2022,2022
Pakistan,PAK,2022,0.9184809,5531.723,,243700616,Asia,2022,2023,2022,2022
Palestine,PSE,2022,0.6626759,4775.202,,5305230,Asia,2022,2023,2022,2022
Panama,PAN,2022,2.5803778,23557.02,,4400715,North America,2022,2023,2022,2022
Paraguay,PRY,2022,1.1992521,8762.771,,6760399,South America,2022,2023,2022,2022
Peru,PER,2022,1.6368144,12762.967,,33475381,South America,2022,2023,2022,2022
Philippines,PHL,2022,1.2714316,8370.666,,113964291,Asia,2022,2023,2022,2022
Poland,POL,2022,8.207285,32468.402,,38385689,Europe,2022,2023,2022,2022
Portugal,PRT,2022,3.9058208,28992.059,,10417030,Europe,2022,2023,2022,2022
Qatar,QAT,2022,36.70004,149171.11,,2892419,Asia,2022,2023,2022,2022
Romania,ROU,2022,3.8083065,26197.904,,19166726,Europe,2022,2023,2022,2022
Russia,RUS,2022,12.379392,25437.107,,145579843,Europe,2022,2023,2022,2022
Rwanda,RWA,2022,0.11286771,2198.0662,,13650972,Africa,2022,2023,2022,2022
Saint Lucia,LCA,2022,2.742586,10452.165,,178747,North America,2022,2023,2022,2022
Sao Tome and Principe,STP,2022,0.70649457,3751.6428,,226265,Africa,2022,2023,2022,2022
Saudi Arabia,SAU,2022,22.480951,53516.91,,32175301,Asia,2022,2023,2022,2022
Senegal,SEN,2022,0.69541025,2660.6816,,17651046,Africa,2022,2023,2022,2022
Serbia,SRB,2022,6.4078465,17097.686,,6791172,Europe,2022,2023,2022,2022
Seychelles,SYC,2022,4.4126396,31055.39,,125480,Africa,2022,2023,2022,2022
Sierra Leone,SLE,2022,0.15435511,1690.4982,,8276759,Africa,2022,2023,2022,2022
Singapore,SGP,2022,8.4733,80320.086,,5649833,Asia,2022,2023,2022,2022
Slovakia,SVK,2022,5.7645545,27519.287,,5473145,Europe,2022,2023,2022,2022
Slovenia,SVN,2022,6.004816,32673.762,,2115184,Europe,2022,2023,2022,2022
South Africa,ZAF,2022,6.497632,11415.887,,62378377,Africa,2022,2023,2022,2022
South Korea,KOR,2022,11.62734,41320.9,,51782473,Asia,2022,2023,2022,2022
Spain,ESP,2022,4.906234,34123.387,,47828339,Europe,2022,2023,2022,2022
Sri Lanka,LKA,2022,0.87160707,10705.481,,22834913,Asia,2022,2023,2022,2022
Sweden,SWE,2022,3.573317,47126.13,,10487289,Europe,2022,2023,2022,2022
Switzerland,CHE,2022,3.7327585,63323.254,,8792128,Europe,2022,2023,2022,2022
Syria,SYR,2022,1.1269557,2494.7612,,22462118,Asia,2022,2023,2022,2022
Taiwan,TWN,2022,11.685236,53142.984,,23420051,Asia,2022,2023,2022,2022
